,Unnamed: 0,Prompt,X,Clue,generated_return,max_tokens,temperature,top_p,selected,correct,system_msg,comment,answer,clue_prompt,gpt_clue
18,18,guess an answer to the following crossword clue which is 3 letters long and includes letters H as letter 1 and is not 'HAY': <clue>,"X                   Make ___
num_of_char                3
included_letters    {0: 'H'}
Name: 18, dtype: object",Make ___,['HAY'],8,1.2,1,hay,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),HAY,"Given the word ""hay"",   generate another crossword clue that is not ""Make ___"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Barn loft filler"""
19,19,guess an answer to the following crossword clue which is 6 letters long and includes letters C as letter 1 and is not 'Caesar': <clue>,"X                   Who says, in Shakespeare, ""Yond Cassius has a ...
num_of_char                                                         6
included_letters                                             {0: 'C'}
Name: 19, dtype: object","Who says, in Shakespeare, ""Yond Cassius has a ...",['Caesar'],8,1.2,1,caesar,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),CAESAR,"Given the word ""caesar"",   generate another crossword clue that is not ""Who says, in Shakespeare, ""Yond Cassius has a ..."". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Famous roman ruler, known for his assassination."""
20,20,guess an answer to the following crossword clue which is 3 letters long and includes letters D as letter 1 and is not 'DUE': <clue>,"X                   Start to charge?
num_of_char                        3
included_letters            {0: 'D'}
Name: 20, dtype: object",Start to charge?,['DUE'],8,1.2,1,due,False,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),DIS,"Given the word ""due"",   generate another crossword clue that is not ""Start to charge?"". Output your clue in the format like so,  Another clue is: <your clue here>.",No clue available.
21,21,guess an answer to the following crossword clue which is 4 letters long and includes letters S as letter 1 and is not 'SAVE': <clue>,"X                    Reserve
num_of_char                4
included_letters    {0: 'S'}
Name: 21, dtype: object", Reserve,['SAVE'],8,1.2,1,save,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),SAVE,"Given the word ""save"",   generate another crossword clue that is not "" Reserve"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Preserve for future use""."
22,22,"guess an answer to the following crossword clue which is 7 letters long and includes letters T as letter 1 and is not 'The answer could be ""Trewing', 'The answer could be ""Tartane', 'The answer could be ""Tartars', 'The answer could be ""Tartans', 'The answer could be ""Trews', 'Tartan', 'The answer could be ""Tamoshanter' or 'The answer could be ""Tartlet': <clue>","X                   Highland wear
num_of_char                     7
included_letters         {0: 'T'}
Name: 22, dtype: object",Highland wear,"['Tartan', 'The answer could be ""Tamoshanter', 'The answer could be ""Trews', 'The answer could be ""Tartans', 'The answer could be ""Tartane', 'The answer could be ""Trews', 'The answer could be ""Tartars', 'The answer could be ""Trews', 'The answer could be ""Trewing', 'The answer could be ""Tartlet']",8,1.2,1,FALSE,False,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),TARTANS,"Given the word ""FALSE"",   generate another crossword clue that is not ""Highland wear"". Output your clue in the format like so,  Another clue is: <your clue here>.",No clue available.
23,23,guess an answer to the following crossword clue which is 5 letters long and includes letters C as letter 1 and is not 'CITES': <clue>,"X                   Points to
num_of_char                 5
included_letters     {0: 'C'}
Name: 23, dtype: object",Points to,['CITES'],8,1.2,1,cites,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),CITES,"Given the word ""cites"",   generate another crossword clue that is not ""Points to"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Acknowledges sources"""
24,24,guess an answer to the following crossword clue which is 11 letters long and includes letters T as letter 1 and is not 'Touristtrap': <clue>,"X                   Many a shop outside a national park
num_of_char                                          11
included_letters                               {0: 'T'}
Name: 24, dtype: object",Many a shop outside a national park,['Touristtrap'],8,1.2,1,touristtrap,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),TOURISTTRAP,"Given the word ""touristtrap"",   generate another crossword clue that is not ""Many a shop outside a national park"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""A deceptive attraction for travelers"""
25,25,guess an answer to the following crossword clue which is 4 letters long and includes letters F as letter 1 and is not 'Fact': <clue>,"X                   It's true!
num_of_char                  4
included_letters      {0: 'F'}
Name: 25, dtype: object",It's true!,['Fact'],8,1.2,1,fact,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),FACT,"Given the word ""fact"",   generate another crossword clue that is not ""It's true!"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Piece of verified information""."
26,26,guess an answer to the following crossword clue which is 5 letters long and includes letters C as letter 1 and is not 'CHOIR': <clue>,"X                   Group often costumed in robes
num_of_char                                     5
included_letters                         {0: 'C'}
Name: 26, dtype: object",Group often costumed in robes,['CHOIR'],8,1.2,1,choir,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),CHOIR,"Given the word ""choir"",   generate another crossword clue that is not ""Group often costumed in robes"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Singing ensemble in a church""."
27,27,guess an answer to the following crossword clue which is 3 letters long and includes letters F as letter 1 and is not 'FAB': <clue>,"X                      Marvy
num_of_char                3
included_letters    {0: 'F'}
Name: 27, dtype: object",   Marvy,['FAB'],8,1.2,1,fab,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),FAB,"Given the word ""fab"",   generate another crossword clue that is not ""   Marvy"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Slang for fantastic"""
28,28,guess an answer to the following crossword clue which is 4 letters long and includes letters O as letter 1 and is not 'OBOE': <clue>,"X                   Hautbois, en anglais
num_of_char                            4
included_letters                {0: 'O'}
Name: 28, dtype: object","Hautbois, en anglais",['OBOE'],8,1.2,1,oboe,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),OBOE,"Given the word ""oboe"",   generate another crossword clue that is not ""Hautbois, en anglais"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Orchestral woodwind instrument with a distinctive tone"""
29,29,"guess an answer to the following crossword clue which is 10 letters long and includes letters R as letter 1 and is not ''RETORTION'', 'REMATURELY' or 'REACTIONARY': <clue>","X                   ""Oh, grow up!""
num_of_char                     10
included_letters          {0: 'R'}
Name: 29, dtype: object","""Oh, grow up!""","['REACTIONARY', ""'RETORTION'"", 'REMATURELY']",8,1.2,1,rematurely,False,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),REALMATURE,"Given the word ""rematurely"",   generate another crossword clue that is not """"Oh, grow up!"""". Output your clue in the format like so,  Another clue is: <your clue here>.",No clue available.
30,30,guess an answer to the following crossword clue which is 4 letters long and includes letters R as letter 1 and is not 'Rome': <clue>,"X                   Terminus of the Appian Way
num_of_char                                  4
included_letters                      {0: 'R'}
Name: 30, dtype: object",Terminus of the Appian Way,['Rome'],8,1.2,1,rome,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),ROME,"Given the word ""rome"",   generate another crossword clue that is not ""Terminus of the Appian Way"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""The capital city of Italy""."
31,31,guess an answer to the following crossword clue which is 10 letters long and includes letters I as letter 1 and is not 'Investment': <clue>,"X                   Potential source of interest
num_of_char                                   10
included_letters                        {0: 'I'}
Name: 31, dtype: object",Potential source of interest,['Investment'],8,1.2,1,investment,True,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),INVESTMENT,"Given the word ""investment"",   generate another crossword clue that is not ""Potential source of interest"". Output your clue in the format like so,  Another clue is: <your clue here>.","Another clue is: ""Financial asset allocation"""
32,32,guess an answer to the following crossword clue which is 4 letters long and includes letters T as letter 1 and is not 'TALL': <clue>,"X                   Word with pigeon or pointy
num_of_char                                  4
included_letters                      {0: 'T'}
Name: 32, dtype: object",Word with pigeon or pointy,['TALL'],8,1.2,1,tall,False,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),TOED,"Given the word ""tall"",   generate another crossword clue that is not ""Word with pigeon or pointy"". Output your clue in the format like so,  Another clue is: <your clue here>.",No clue available.
33,33,guess an answer to the following crossword clue which is 4 letters long and includes letters O as letter 1 and is not 'ODDS': <clue>,"X                   Confucius' ""Book of ___""
num_of_char                                4
included_letters                    {0: 'O'}
Name: 33, dtype: object","Confucius' ""Book of ___""",['ODDS'],8,1.2,1,odds,False,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),ODES,"Given the word ""odds"",   generate another crossword clue that is not ""Confucius' ""Book of ___"""". Output your clue in the format like so,  Another clue is: <your clue here>.",No clue available.
34,34,guess an answer to the following crossword clue which is 5 letters long and includes letters S as letter 1 and is not 'Sects': <clue>,"X                   Walled-off divisions, metaphorically
num_of_char                                            5
included_letters                                {0: 'S'}
Name: 34, dtype: object","Walled-off divisions, metaphorically",['Sects'],8,1.2,1,sects,False,You are a helpful assistant who guess answers to crossword clues without any additional text.,redid the random number of letters included (it is 40% and used to be 30%),SILOS,"Given the word ""sects"",   generate another crossword clue that is not ""Walled-off divisions, metaphorically"". Output your clue in the format like so,  Another clue is: <your clue here>.",No clue available.
